# Column 1: redshift
# Column 2: scale factor
# Column 3: Hubble parameter [km/s/Mpc]
# Column 4: Hubble parameter [Mpc^-1]
# Column 5: sigma8
# Column 6: velocity growth rate f = dlnD/dlna
# Column 7: vrms2 [km/s]
# Column 8: Delta Chi sigma2_hsv [Mpc/h,see Eq. 33 of Takada and Spergel 2013]
# Column 9: mvir  [Msun/h] (typical <M>)
# Column 10: mean galaxy number density ng_bar
# Column 11: mdel
# Column 12: mdel_prime
# Column 13: delta_prime
# Column 14: delta_prime
1.00000e-05 	 9.99990e-01 	 6.71103e+01 	 2.23856e-04 	 8.46854e-01 	 5.29442e-01 	 2.72950e+05 	 0.00000e+00 	 1.00000e+14	 2.48513e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.39865e-03 	 9.98603e-01 	 6.71548e+01 	 2.24004e-04 	 8.46227e-01 	 5.30290e-01 	 2.73022e+05 	 0.00000e+00 	 1.00000e+14	 2.48285e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
2.78923e-03 	 9.97219e-01 	 6.71994e+01 	 2.24153e-04 	 8.45600e-01 	 5.31138e-01 	 2.73094e+05 	 0.00000e+00 	 1.00000e+14	 2.48057e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
4.18174e-03 	 9.95836e-01 	 6.72441e+01 	 2.24302e-04 	 8.44974e-01 	 5.31985e-01 	 2.73166e+05 	 0.00000e+00 	 1.00000e+14	 2.47829e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
5.57618e-03 	 9.94455e-01 	 6.72890e+01 	 2.24452e-04 	 8.44348e-01 	 5.32833e-01 	 2.73237e+05 	 0.00000e+00 	 1.00000e+14	 2.47602e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
6.97256e-03 	 9.93076e-01 	 6.73341e+01 	 2.24602e-04 	 8.43723e-01 	 5.33682e-01 	 2.73309e+05 	 0.00000e+00 	 1.00000e+14	 2.47374e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
8.37087e-03 	 9.91699e-01 	 6.73794e+01 	 2.24753e-04 	 8.43098e-01 	 5.34530e-01 	 2.73381e+05 	 0.00000e+00 	 1.00000e+14	 2.47147e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
9.77113e-03 	 9.90323e-01 	 6.74247e+01 	 2.24905e-04 	 8.42474e-01 	 5.35378e-01 	 2.73453e+05 	 0.00000e+00 	 1.00000e+14	 2.46920e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.11733e-02 	 9.88950e-01 	 6.74703e+01 	 2.25057e-04 	 8.41850e-01 	 5.36227e-01 	 2.73525e+05 	 0.00000e+00 	 1.00000e+14	 2.46693e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.25775e-02 	 9.87579e-01 	 6.75160e+01 	 2.25209e-04 	 8.41227e-01 	 5.37075e-01 	 2.73597e+05 	 0.00000e+00 	 1.00000e+14	 2.46467e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.39836e-02 	 9.86209e-01 	 6.75619e+01 	 2.25362e-04 	 8.40604e-01 	 5.37924e-01 	 2.73669e+05 	 0.00000e+00 	 1.00000e+14	 2.46240e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.53916e-02 	 9.84842e-01 	 6.76079e+01 	 2.25516e-04 	 8.39973e-01 	 5.38773e-01 	 2.73733e+05 	 0.00000e+00 	 1.00000e+14	 2.46024e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.68017e-02 	 9.83476e-01 	 6.76541e+01 	 2.25670e-04 	 8.39341e-01 	 5.39622e-01 	 2.73797e+05 	 0.00000e+00 	 1.00000e+14	 2.45809e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.82136e-02 	 9.82112e-01 	 6.77004e+01 	 2.25824e-04 	 8.38710e-01 	 5.40471e-01 	 2.73860e+05 	 0.00000e+00 	 1.00000e+14	 2.45594e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
1.96275e-02 	 9.80750e-01 	 6.77469e+01 	 2.25979e-04 	 8.38079e-01 	 5.41320e-01 	 2.73924e+05 	 0.00000e+00 	 1.00000e+14	 2.45379e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
2.10434e-02 	 9.79390e-01 	 6.77936e+01 	 2.26135e-04 	 8.37449e-01 	 5.42170e-01 	 2.73988e+05 	 0.00000e+00 	 1.00000e+14	 2.45164e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
2.24613e-02 	 9.78032e-01 	 6.78404e+01 	 2.26291e-04 	 8.36819e-01 	 5.43019e-01 	 2.74051e+05 	 0.00000e+00 	 1.00000e+14	 2.44950e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
2.38811e-02 	 9.76676e-01 	 6.78874e+01 	 2.26448e-04 	 8.36189e-01 	 5.43868e-01 	 2.74115e+05 	 0.00000e+00 	 1.00000e+14	 2.44735e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
2.53029e-02 	 9.75322e-01 	 6.79346e+01 	 2.26605e-04 	 8.35560e-01 	 5.44718e-01 	 2.74178e+05 	 0.00000e+00 	 1.00000e+14	 2.44521e-02	 1.00000e+00	 1.00000e+00	 2.50000e+00	 1.00000e+00
